anno_pubblicazione;titolo;voto;regista;genere;cast;trama;locandina;tmdb_id;tag
2026;Odissea;;Christopher Nolan;Avventura;Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson, Himesh Patel, John Leguizamo, Charlize Theron, Travis Scott, Corey Hawkins, Jarreth J. Merz, Niko Nicotera, Elliot Page, Shiloh Fernandez, Rafi Gavron, Elyes Gabel;Ogni leggenda ha un prezzo. Ogni ritorno richiede un sacrificio. Mentre il mare diventa il suo più grande nemico, Ulisse affronta un cammino fatto di illusioni, battaglie e prove impossibili. Un'epica odissea che mette alla prova il coraggio di un uomo contro il volere degli dèi.;Locandine/2026_Odissea_1368337.jpg;1368337;Avventura, Azione, Fantasy
2026;Disclosure Day;;Steven Spielberg;Fantascienza;Emily Blunt, Josh O'Connor, Colin Firth, Colman Domingo, Eve Hewson, Wyatt Russell, Elizabeth Marvel, Henry Lloyd-Hughes, Courtney Grace, Jeremy Shamos, Michael Gaston, Gabby Beans, Elliot Villar, Noah Robbins, Clarke Thorell;Se scoprissi che non siamo soli, se qualcuno te lo mostrasse, te lo dimostrasse, questo ti spaventerebbe?;Locandine/2026_Disclosure_Day_1275779.jpg;1275779;Fantascienza, Thriller
2026;Toy Story 5;;Andrew Stanton;Animazione;Tom Hanks, Tim Allen, Joan Cusack, Greta Lee, Conan O'Brien, Craig Robinson, Shelby Rabara, Tony Hale, Scarlett Spears, Jay Hernandez, Lori Alan, Bonnie Hunt, Kristen Schaal, Wallace Shawn, John Ratzenberger;Quando Bonnie riceve in regalo un tablet Lilypad e ne diventa ossessionata, per Buzz, Woody, Jessie e il resto della banda, il lavoro si complica enormemente: dovranno affrontare una nuova, temibile minaccia al mondo del gioco.;Locandine/2026_Toy_Story_5_1084244.jpg;1084244;Animazione, Famiglia, Commedia, Avventura
2014;Toy Story: Tutto un altro mondo;;Steve Purcell;Animazione;Kristen Schaal, Kevin McKidd, Tom Hanks, Tim Allen, Wallace Shawn, Emily Hahn, Steve Purcell, R.C. Cope, Emma Hudak, Jonathan Kydd, Don Rickles, Timothy Dalton, Lori Alan, Joan Cusack;Nel corso di un invito a giocare post-natalizio di Bonnie, gli amici di Toy Story capitano in un territorio inesplorato, dove una gruppo di giocattoli d'azione si rivela pericolosamente delirante. Ed è tutto merito di Trixie, il triceratopo, se i giocattoli di Bonnie riusciranno a tornare a casa.;Locandine/2014_Toy_Story_Tutto_un_altro_mondo_256835.jpg;256835;Animazione, Famiglia, Avventura, Commedia
2019;Toy Story 4;;Josh Cooley;Animazione;Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw, Christina Hendricks, Jordan Peele, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack, Bonnie Hunt, Kristen Schaal;"Woody è sempre stato sicuro del suo posto nel mondo, devoto a prendersi cura di suo figlio, che si tratti di Andy o Bonnie. Ma dopo che Bonnie crea un nuovo giocattolo riluttante chiamato ""Forky"", un'avventura in viaggio insieme a vecchi e nuovi amici mette in discussione tutto ciò in cui Woody crede riguardo alla lealtà, allo scopo e a cosa significhi davvero essere un giocattolo.";Locandine/2019_Toy_Story_4_301528.jpg;301528;Famiglia, Commedia, Animazione, Avventura
2019;Spider-Man: Far from Home;;Jon Watts;Fantascienza;Tom Holland, Jake Gyllenhaal, Samuel L. Jackson, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, JB Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar;Peter Parker ritorna in Spider-Man: Far From Home, il secondo capitolo della serie di Spider-Man: Homecoming! Il nostro amichevole Spider-Man di quartiere decide di partire per una vacanza in Europa con i suoi migliori amici. I propositi di Peter di non indossare i panni del supereroe per alcune settimane vengono meno quando decide, a malincuore, di aiutare Nick Fury a svelare il mistero degli attacchi di creature elementali che stanno creando scompiglio in tutto il continente.  Parte delle riprese sono state realizzate a Venezia tra settembre e ottobre 2018.;Locandine/2019_Spider-Man_Far_from_Home_429617.jpg;429617;Azione, Avventura, Fantascienza
2021;Black Widow;;Cate Shortland;Fantascienza;Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone, Ever Anderson, Violet McGraw, O-T Fagbenle, William Hurt, Olga Kurylenko, Ryan Kiera Armstrong, Liani Samuel, Michelle Lee, Lewis Young, C.C. Smiff;Quando viene alla luce un pericoloso complotto, Natasha Romanoff alias Black Widow si trova ad affrontare il lato più oscuro del suo passato. Inseguita da una forza che non si fermerà di fronte a nulla per distruggerla, Natasha dovrà fare i conti con il suo passato da spia e con le relazioni che ha lasciato dietro di sé molto prima di diventare un Avenger.;Locandine/2021_Black_Widow_497698.jpg;497698;Azione, Avventura, Fantascienza
2021;Shang-Chi e la leggenda dei dieci anelli;;Destin Daniel Cretton;Fantascienza;Simu Liu, Tony Leung Chiu-wai, Awkwafina, Ben Kingsley, 张梦儿, Fala Chen, Michelle Yeoh, Yuen Wah, Florian Munteanu, Andy Le, Paul He, Jayden Tianyi Zhang, Elodie Fong, Arnold Sun, Stephanie Hsu;Xu Shang-Chi è il figlio di un potente criminale cinese. Cresciuto in un complesso isolato dal resto del mondo, è stato addestrato nelle arti marziali e ha sviluppato abilità senza precedenti. Si è però lasciato il passato alle spalle trasferendosi a San Francisco. Ben presto, il padre e la sua associazione lo costringeranno a fare i conti con chi è e con l'eredità che si porta appresso.;Locandine/2021_Shang-Chi_e_la_leggenda_dei_dieci_anelli_566525.jpg;566525;Azione, Avventura, Fantasy
2021;Eternals;;Chloé Zhao;Fantascienza;Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek Pinault, Kumail Nanjiani, Lia McHugh, Brian Tyree Henry, Lauren Ridloff, Barry Keoghan, 마동석, Bill Skarsgård, Kit Harington, Harish Patel, Haaz Sleiman, Esai Daniel Cross;"Ne ""Gli Eterni"" dei Marvel Studios un nuovo, entusiasmante, team di supereroi debutta nell’universo cinematografico Marvel: antichi alieni che vivono in segreto sulla Terra da migliaia di anni. A seguito degli eventi di ""Avengers: Endgame"", una tragedia inaspettata li costringe a uscire dalle ombre per ricongiungersi con il più antico nemico dell’umanità, i Devianti.";Locandine/2021_Eternals_524434.jpg;524434;Fantascienza, Azione, Avventura
2021;Spider-Man: No Way Home;;Jon Watts;Fantascienza;Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire, Angourie Rice, Arian Moayed;In seguito agli eventi di Spider-Man: Far from Home, la vita di Peter Parker viene stravolta dopo che Mysterio rivela al mondo la sua identità. Peter chiede aiuto a Stephen Strange affinché usi la magia per far scordare a tutti la sua identità. Ma l'incantesimo non va come previsto e Peter si ritrova a dover affrontare nemici da altri universi e a scoprire cosa significa davvero essere Spider-Man.;Locandine/2021_Spider-Man_No_Way_Home_634649.jpg;634649;Azione, Avventura, Fantascienza
