anno_pubblicazione;titolo;voto;regista;genere;cast;trama;locandina;tmdb_id;tag
2007;Io sono leggenda;3,1;Francis Lawrence;Azione;Will Smith, Alice Braga, Dash Mihok, Charlie Tahan, Salli Richardson;New York, 2012. Un virus creato per curare il cancro, ha trasformato le persone in creature cannibali che temono la lice del sole. La città è deserta e l'unico sopravvissuto è il dottor Robert Neville, immune al virus che tenta di trovare un siero che potrebbe salvare l'umanità.;Locandine/2007_Io_sono_leggenda_6479.jpg;6479;Dramma, Fantascienza, Thriller
2007;Die hard 4;3,5;Len Wiseman;Azione;Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q, Cliff Curtis;Quando un gruppo di cyber-terroristi stacca la spina degli U.S.A., gettando l'intero paese nel panico, le autorità federali e l'esercito brancolano letteralmente nel buio. Il veterano John McClane, ancora una volta nel posto sbagliato al momento sbagliato, si troverà così a dover affrontare una minaccia globale da parte dei propri storici nemici giurati: terroristi e tecnologia. L'agente di polizia più coriaceo in circolazione, avvalendosi in questa occasione dell'aiuto di un giovane pirata informatico, può aver perso il pelo ma non il vizio di prendere di petto le situazioni, e conosce sempre e solo un modo di raddrizzare le cose: di prepotenza.;Locandine/2007_Die_hard_4_1571.jpg;1571;Azione, Thriller
2007;American Gangster;3,5;Ridley Scott;Drammatico;Denzel Washington, Russell Crowe, Cuba Gooding Jr., Josh Brolin, Rza;"Harlem, 1968. Frank Lucas, gangster nero e ""ricercato"", ama la famiglia, prega in chiesa e fa la guardia a Bumpy Johnson, un ""padrino"" che accoglie le suppliche di Harlem e distribuisce tacchini il Giorno del Ringraziamento. Richie Roberts, detective ebreo e incorruttibile della contea di Essex, sta divorziando dalla moglie, ha dimenticato di dire le preghiere e dà la caccia ai malavitosi e ai distributori di tacchini. Alla morte di Johnson, Lucas, più moderno e manageriale del vecchio padrino, subentra nelle sue attività, elimina gli avversari e diventa in pochi anni un potente boss della droga. Scavalcando le famiglie mafiose e rifornendosi di eroina direttamente nel sud-est asiatico, Lucas accumula una fortuna e attira l'attenzione di Richie Roberts. I loro percorsi, opposti e paralleli, si incontreranno.";Locandine/2007_American_Gangster_4982.jpg;4982;Dramma, Crime
2004;Io robot;3,8;Alex Proyas;Fantascienza;Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell, Bruce Greenwood;Il detective Del Spooner è chiamato a investigare sulla morte del dottor Alfred Lanning, un brillante scienziato della U.S. Robotics che stava lavorando a un nuovo tipo di robot, chiamato 'Sonny', dotato di un cervello simile a quello umano. Con l'aiuto della dottoressa Susan Calvin, psicologa esperta di intelligenze artificiali, deve cercare di svelare il mistero che si cela dietro quello che apparentemente sembra essere un omicidio commesso per mano di un robot...;Locandine/2004_Io_robot_2048.jpg;2048;Azione, Fantascienza
1999;American Pie;3;Paul Weitz;Commedia;Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan, Shannon Elizabeth;Finite le superiori un gruppo di amici un po' imbranati, che hanno tutti problemi a trovare una ragazza, decidono di fare una sfida per la festa di fine perdere la verginità prima di iscriversi al college. Non sarà facile.;Locandine/1999_American_Pie_2105.jpg;2105;Commedia, Romance
2004;Hell boy;3,8;Guillermo Del Toro;Horror;Ron Perlman, John Hurt, Selma Blair, Rupert Evans, Karel Roden;"""Hellboy"" è un film del 2004 diretto da Guillermo del Toro, basato sull'omonimo fumetto creato da Mike Mignola. La trama segue le avventure di Hellboy, un demone evocato sulla Terra durante la Seconda Guerra Mondiale da un gruppo di nazisti che speravano di sfruttare i suoi poteri per vincere la guerra. Tuttavia, Hellboy viene salvato dal professor Trevor Bruttenholm e cresce sotto la sua guida, diventando un agente del Bureau for Paranormal Research and Defense (BPRD).

Anni dopo, Hellboy lavora insieme a un team di esseri paranormali, tra cui l'anfibio Abe Sapien e la pirocinetica Liz Sherman, per proteggere il mondo da minacce sovrannaturali. La storia si concentra sul ritorno del malvagio stregone Grigori Rasputin, che intende completare il rituale iniziato anni prima per scatenare l'Apocalisse. Hellboy deve affrontare il suo destino e scegliere tra il bene e il male, mentre combatte contro forze oscure e scopre la verità sulle sue origini.";Locandine/2004_Hell_boy_105855.jpg;105855;Horror
2008;Hell boy - The golden army;3,8;Guillermo Del Toro;Azione;Ron Perlman, Selma Blair, Jeffrey Tambor, Doug Jones, John Hurt;"""Hellboy II: The Golden Army"" è un film del 2008 diretto da Guillermo del Toro. La trama segue Hellboy, un demone rosso che lavora per il Bureau for Paranormal Research and Defense (BPRD), mentre affronta una nuova minaccia. Il principe Nuada, un elfo ribelle, rompe un'antica tregua tra l'umanità e le creature magiche, decidendo di risvegliare l'invincibile Esercito d'Oro per conquistare il mondo. Hellboy, insieme ai suoi compagni Abe Sapien e Liz Sherman, deve fermare Nuada e il suo esercito prima che sia troppo tardi. Durante la missione, Hellboy affronta anche dilemmi personali riguardanti la sua identità e il suo posto nel mondo umano. Il film esplora temi di lealtà, amore e il conflitto tra il mondo umano e quello soprannaturale.";;;
1995;Aladdin 2 - Il ritorno di Jafar;3,5;Toby Shelton;Ragazzi;Tony Shelton, Ted Stones;Aladdin è alle prese con il criminale Abis Mal. Questi, rifugiatosi nel deserto, trova una vecchia lampada e decide di sfregarla. Non l'avesse mai fatto: così facendo permette al malvagio Jafar di tornare in circolazione per vendicarsi di Aladdin. E come sempre il Genio dovrà fare gli straordinari per neutralizzare i malefici di Jafar...;Locandine/1995_Aladdin_2_-_Il_ritorno_di_Jafar_15969.jpg;15969;Famiglia, Avventura, Animazione, Romance
2006;L'era glaciale 2 - Il disgelo;4;Carlos Saldanha;Animazione;John Leguizamo, Ray Romano, Denis Leary, Seann William Scott, Josh Peck;È arrivato il momento dello scioglimento dei ghiacci e il gruppo ormai affiatato (nonostante le differenze) composto da Manny (il mammuth) Diego (la tigre con i denti a sciabola) e Sid (il bradipo) deve nuovamente mettersi in marcia alla ricerca di un luogo abitabile. Ma questa volta c'è un problema in più: il cuore malinconico di Manny sembra destinato a battere più velocemente dopo l'incontro con Ellie, una mammuth che crede di essere un opossum... mentre a Diego e a Sid non mancheranno occasioni per accrescere la loro autostima.;Locandine/2006_L_era_glaciale_2_-_Il_disgelo_950.jpg;950;Animazione, Famiglia, Commedia, Avventura
2008;Kung fu Panda;4;Mark Stevenson, John e Osborne;Animazione;Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Jackie Chan;Po è un giovane panda il cui padre (un'oca cignoode) gestisce un piccolo ristorante la cui specialità sono i noodles cucinati secondo una ricetta segreta. Po fa il cameriere ma intanto sogna di poter essere un eroe del kung fu. Finché un giorno, in seguito a una predizione che lo vedrebbe come l'eletto Guerriero Dragone, viene associato alla scuola del Maestro Shifu. Ha così modo di incontrare i suoi idoli. Sono i Cinque cicloni: Tigre, Gru, Mantide, Vipera e Scimmia i quali non sono particolarmente felici di vederlo nelle vicinanze. Le speranze di farne un vero guerriero si affievoliscono progressivamente e il giorno in cui Tai Lung, il vendicativo e fortissimo leopardo delle nevi, si libera dalla prigionia e parte alla ricerca di Shifu e del Guerriero le cose sembrano mettersi male. I Cinque sono pronti a sacrificarsi ma Po riserverà loro delle sorprese.;Locandine/2008_Kung_fu_Panda_9502.jpg;9502;Azione, Animazione, Commedia, Famiglia
